PTENP1
GFOD3P
DUX4L1
HSP90AA2P
NCF1C
HRES1
DHFRP1
GGT2P
FER1L4
MTRNR2L1
KLRA1P
GNRHR2
CYP21A1P
FCGR1BP
ANP32CP
GBA1LP
GLUD1P5
HLA-H
HSPA7
COL6A4P1
USP17L9P
DUXAP8
DUXAP9
DUXAP10
KIR3DP1
KIR2DP1
TARDBPP3
POLR1HASP
CMAHP
BMS1P20
HLA-Y
FCGR1CP
BCRP8
ZNF123P
GAPDHP44
MKI67P1
USP17L14P
USP17L16P
WTAPP1
MTRNR2L7
DUX4L9
HYDIN2
MOXD2P
ARSDP1
NF1P1
LOC100421094
FGFR3P1
MTRNR2L3
MTRNR2L4
MTRNR2L5
MTRNR2L6
MTRNR2L8
MTRNR2L9
MTRNR2L10
MTRNR2L12
PPP1R2P1
HNRNPA3P1
SNAI1P1
CELP
MTCO2P12
ZNF271P
MORF4
RNA18SP4
RNA5-8SP9
RNA18SP3
RNA5-8SP8
RNA18SP5
RNA5-8SP10
NATP
MST1L
BIRC8
ZBED10P
GGTA2P
AHSA2P
CKS1BP7
CRYBB2P1
OVOS2
TCAM1P
CSTP1
CHIAP2
ABCC13
PRSS3P2
TDH
CYP3A51P
EEF1A1P5
HSD17B7P2
ADAM3A
ADAM3B
CLECL1P
CYP4Z2P
DEFT1P
BICDL3P
DNAJB1P1
PDIA3P1
AFG3L1P
DRD5P2
NOS2P2
RPSAP52
SFTA1P
FOLH1B
RPLP0P6
ADGRF2P
CYP2G1P
SSPOP
PYY2
UBBP4
TXLNGY
FTH1P3
REXO1L1P
FBXL21P
PTTG3P
DUX4L8
OFCC1
OR4F4
PIPSL
RNU6-6P
INGX
GM2AP1
SSX6P
NME2P1
HMGN2P46
IGHV4-55
IGHV3-69-1
FTLP3
PLGLA
TRBV16
RNF5P1
BRAFP1
IGLV2-5
IGLV1-41
IGKV2-29
IGKV2-26
GUCY1B2
GULOP
A2MP1
ANXA2P2
HBAP1
HBBP1
HBZP1
HLA-DPB2
HLA-DRB2
HLA-DRB6
HLA-DRB9
HLA-J
BPIFA4P
RBMXP1
ADGRE4P
MT1DP
HSP90AB3P
H2BC19P
SLCO1B7
POLR2MP1
CPP
APOC1P1
IDSP1
NMRAL2P
TPRXL
IFNWP18
H1-9P
WASH3P
KRASP1
SLC6A10P
TPTEP1
RPL13AP20
SERPINA13P
FMO6P
GUCY2EP
OR3A4P
CCL3P1
UOX
SUMO1P1
USP17L6P
HSP90AB2P
LOC392187
LOC392196
BRCA1P1
TCEA1P2
HERC2P2
SYT14P1
LOC402329
NANOGP1
MAGEA5P
DNAJB3
SLC22A20P
CARD17P
DDX12P
POTEKP
DUX4L4
PMS2CL
RPS26P11
GLRA4
OR10J3
IRS3P
MT1JP
MT1L
MYCLP1
SUMO1P3
NPY6R
TAAR4P
MBL3P
NAT8B
CES1P1
PGK1P1
PGK1P2
PMCHL1
PMCHL2
PMS2P1
SCAND2P
FAM86C1P
VNN3P
NXF5
PRKY
DAD1P1
