TP53
FAT1
CSMD3
NOTCH1
CDKN2A
PIK3CA
LRP1B
KMT2D
CASP8
NSD1
FAM135B
FAT3
CREBBP
EP300
HRAS
KMT2C
FBXW7
NFE2L2
NOTCH2
TGFBR2
AJUBA
TRRAP
MYH9
HLA-A
ARID2
HLA-B
RASA1
NCOR1
ASXL1
SMAD4
PTEN
KDM6A
RB1
FGFR3
RAC1
ZMYM3
RHOA
CYLD
MAPK1
SMARCA4
CTNNA2
FBLN2
MB21D2
PIK3R1
B2M
SDCBP
KIF5B
NF2
ACVR1
TP63
GATA2
NF1
ROS1
MPL
CSF3R
PTPRT
BRCA2
SETD1B
CTCF
MYH11
DDX3X
CCND1
CIITA
MIB2
AKAP9
ELK4
KDM5C
BIRC6
CHD4
PRKCB
BRD4
SETDB1
