TP53
CSMD3
NF1
BRCA1
PIK3CA
KRAS
CDK12
PTPRB
BRCA2
LRP1B
RB1
KMT2A
ARID1A
KMT2D
MYH9
CREBBP
ARHGAP35
KMT2C
FAT1
FOXL2
PREX2
ERBB2
ATRX
GPC5
NBEA
FGFR1
LATS1
PPP2R1A
NRAS
PTPRD
RNF43
PALB2
ACKR3
STAT5B
ARID2
NF2
CTNNB1
ZNF521
PTEN
CARD11
NUTM1
BRAF
SMARCA4
WWTR1
PTPRT
NOTCH1
ELL
CTNND2
JAK1
TNC
ROS1
KDM5C
PIK3R1
SETD1B
