BRAF
NRAS
KMT2D
PTPRD
NBEA
CDKN2A
TP53
ARID2
SETD2
NF1
PTEN
MAP2K1
AKAP9
IKZF1
PBRM1
IDH1
SF3B1
PPP6C
RB1
RAC1
KNSTRN
PIK3CA
EIF1AX
CNOT9
BAP1
PLAG1
GNAQ
TSC1
AKT3
RHOA
