VHL
PBRM1
SETD2
MTOR
LRP1B
MET
KMT2C
KDM5C
BIRC6
FAT1
FAT3
TRRAP
BAP1
CREBBP
KMT2D
PTEN
ARHGAP35
CLTC
TP53
RNF213
FLT4
DNMT3A
ARHGEF10L
MAP3K1
