TP53
KRAS
EGFR
KEAP1
LRP1B
STK11
CDH10
BRAF
ATM
SMARCA4
RBM10
NF1
KDR
APC
PIK3CA
CTNND2
SETD2
MGA
ZEB1
ARID1A
RB1
RGS7
CTNNB1
CDKN2A
ARID2
U2AF1
MET
CMTR2
KMT2C
FAT4
CTNNA2
ERBB2
ATF7IP
CSMD3
EPHA7
RHPN2
PARP4
PER3
GNAS
ACVR1B
FLCN
CUX1
DCAF12L2
NCOA2
SETD1B
ANK1
MAP2K1
SPEN
CIC
FBXW7
SMAD4
KDM5C
ARAF
BCOR
CRLF2
BIRC6
TRRAP
PPM1D
VAV1
FLT4
SLC34A2
AFF3
EP300
ZMYM3
PTEN
NBEA
CBLB
NOTCH1
TSC1
NRAS
RPL5
NFKBIE
PBRM1
NCOR1
RBM15
PHF6
MACC1
