TP53
KMT2D
CDH10
NFE2L2
KMT2C
CDKN2A
FAT1
PIK3CA
NF1
KEAP1
NOTCH1
PTEN
FAM135B
RUNX1T1
ARID1A
LRP1B
RASA1
MUC6
NSD1
KDM6A
ARHGAP35
FBXW7
DROSHA
FAT3
RB1
CSMD3
CUL3
EP300
CUX1
CTNND2
MB21D2
MAML2
CREBBP
FGFR3
FGFR2
KLF5
RAD21
NUP98
BRCA2
ZNF750
RANBP2
HRAS
ZEB1
PIK3R1
PDGFRA
RGS7
POLQ
LATS2
ATM
BCR
CD209
SUSD2
NRAS
USP6
CDH11
KRAS
PABPC1
PSPC1
ZNF521
NCOA2
ARID1B
NRK
EGFR
EBF1
NSD3
TNC
HLA-A
RGPD3
RHPN2
FLT4
BIRC3
RNF43
ESR1
USP8
STAG2
FOXO1
RNF213
