TP53
PTEN
EGFR
IDH1
NF1
PIK3CA
ATRX
RB1
PIK3R1
FAT4
BRAF
PTPN11
LZTR1
STAG2
DCAF12L2
BCOR
LRP1B
RNF213
CSMD3
MAP3K1
PIK3CB
ACSM3
TET1
AXIN1
FGFR4
UBXN11
TCF12
BCL11B
QKI
NRAS
RAD50
KNL1
RUNX1
PDGFRA
NVL
KMT2D
ARID1A
RPL5
AR
COL1A1
MYCN
CDKN2A
PCM1
TAL2
MED12
EWSR1
ZEB1
FGFR1
